                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6892,                 3.1757,                 1.7741,                0.03579,                0.57898,                0.10368,                0.04737,                 1.6582,                 3.1852,                 1.6485,              0.0003875,              0.0003875,              0.0003875
                      2,                 1.7804,                 2.5616,                 1.8115,                0.87404,                0.09789,                 0.1146,                0.04355,                 1.8877,                 2.8857,                 1.8545,              0.0007823,              0.0007823,              0.0007823
                      3,                 1.7116,                 2.5209,                 1.8072,                0.80823,                0.09639,                0.04756,                0.01654,                 2.1651,                 3.7936,                 2.1112,              0.0011718,              0.0011718,              0.0011718
                      4,                 1.7946,                 2.4941,                 1.9109,                0.85286,                0.11446,                0.10653,                0.05271,                 2.0213,                 3.3278,                 1.9615,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.7155,                 2.4692,                 1.8428,                0.87122,                0.08133,                0.08544,                0.03922,                 1.9167,                 3.2524,                 2.0056,               0.001217,               0.001217,               0.001217
                      6,                 1.7125,                 2.4595,                  1.885,                0.66244,                0.16378,                0.12667,                0.05743,                 1.7943,                 2.9134,                 1.9459,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.7392,                 2.3807,                 1.8109,                0.36991,                0.16246,                0.15173,                0.05634,                 2.0026,                 3.3466,                 1.8921,              0.0012005,              0.0012005,              0.0012005
                      8,                  1.688,                 2.3614,                 1.8147,                0.64289,                 0.2613,                0.18294,                0.08434,                 1.8944,                  2.732,                 1.9327,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.6907,                 2.3058,                 1.8157,                0.84264,                 0.0849,                0.10494,                0.04097,                 2.0672,                 2.9725,                 2.0781,               0.001184,               0.001184,               0.001184
                     10,                 1.6654,                 2.2823,                 1.8003,                0.87766,                0.13855,                 0.1317,                0.06521,                   1.86,                 2.9384,                 1.9184,              0.0011757,              0.0011757,              0.0011757
                     11,                   1.68,                 2.3174,                 1.8055,                0.23169,                0.23865,                0.17988,                0.09653,                 1.7796,                  2.558,                 1.9097,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.6609,                 2.2221,                 1.7945,                0.66364,                0.17306,                0.15603,                0.06832,                 1.9491,                 2.5205,                 2.0024,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.6205,                 2.2082,                  1.761,                0.22313,                0.31913,                0.20157,                0.08027,                 1.8001,                 2.2888,                 1.8392,               0.001151,               0.001151,               0.001151
                     14,                 1.5713,                 2.1907,                 1.7131,                0.45171,                0.14928,                0.19242,                0.09034,                 1.9188,                 2.5183,                 1.9914,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.5537,                 2.1124,                 1.7233,                0.41505,                0.22625,                0.18689,                0.08657,                 1.7699,                 2.3371,                 1.8039,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.5475,                 2.0854,                 1.7132,                0.76159,                0.18242,                0.24071,                0.11091,                 1.8773,                 2.2857,                  1.878,              0.0011263,              0.0011263,              0.0011263
